集計上の作物分類,作物名,用途,登録番号,農薬の種類,農薬の名称,適用病害虫雑草名,使用方法
稲,直播水稲,殺虫殺菌剤,24346,ジノテフラン・フェリムゾン・フサライド水和剤,ブレードスタークルゾル,ツマグロヨコバイ,無人航空機による散布
稲,直播水稲,殺虫殺菌剤,24346,ジノテフラン・フェリムゾン・フサライド水和剤,ブレードスタークルゾル,もみ枯細菌病,無人航空機による散布
稲,直播水稲,殺虫殺菌剤,24346,ジノテフラン・フェリムゾン・フサライド水和剤,ブレードスタークルゾル,稲こうじ病,無人航空機による散布
稲,直播水稲,殺虫殺菌剤,24346,ジノテフラン・フェリムゾン・フサライド水和剤,ブレードスタークルゾル,内穎褐変病,無人航空機による散布
稲,直播水稲,殺虫殺菌剤,24346,ジノテフラン・フェリムゾン・フサライド水和剤,ブレードスタークルゾル,変色米（アルタナリア菌）,無人航空機による散布
稲,直播水稲,殺虫殺菌剤,24346,ジノテフラン・フェリムゾン・フサライド水和剤,ブレードスタークルゾル,変色米（カーブラリア菌）,無人航空機による散布
稲,直播水稲,殺虫殺菌剤,24346,ジノテフラン・フェリムゾン・フサライド水和剤,ブレードスタークルゾル,穂枯れ（ごま葉枯病菌）,無人航空機による散布
稲,直播水稲,殺虫殺菌剤,22072,ジノテフラン・メトミノストロビン粒剤,ホクコーイモチエーススタークル１キロ粒剤,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫殺菌剤,22072,ジノテフラン・メトミノストロビン粒剤,ホクコーイモチエーススタークル１キロ粒剤,ウンカ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫殺菌剤,22072,ジノテフラン・メトミノストロビン粒剤,ホクコーイモチエーススタークル１キロ粒剤,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
